--- Configuration ---
P_BEAM_WIDTH: 262144
P_EVALUATION: 3
P_SLICE: 2
P_THRESHOLD: 18
P_SN: 4
P_EN: 10
---------------------

start algo2_1
depth:   0, queue: pq.size=1, pmode=0, max:score=5/72, rid=79, fid=0
depth:   1, queue: pq.size=3, pmode=0, max:score=7/72, rid=109, fid=0
depth:   2, queue: pq.size=3, pmode=0, max:score=10/72, rid=89, fid=140
depth:   3, queue: pq.size=3, pmode=0, max:score=12/72, rid=46, fid=0
depth:   4, queue: pq.size=3, pmode=0, max:score=14/72, rid=4, fid=8
depth:   5, queue: pq.size=3, pmode=0, max:score=16/72, rid=135, fid=1
depth:   6, queue: pq.size=3, pmode=0, max:score=18/72, rid=61, fid=29
depth:   7, queue: pq.size=3, pmode=0, max:score=19/72, rid=135, fid=110
depth:   8, queue: pq.size=3, pmode=0, max:score=21/72, rid=18, fid=2
depth:   9, queue: pq.size=3, pmode=0, max:score=24/72, rid=119, fid=21
depth:  10, queue: pq.size=3, pmode=0, max:score=25/72, rid=123, fid=913
depth:  11, queue: pq.size=3, pmode=0, max:score=27/72, rid=37, fid=1631
depth:  12, queue: pq.size=3, pmode=0, max:score=28/72, rid=14, fid=17
depth:  13, queue: pq.size=3, pmode=0, max:score=29/72, rid=14, fid=22
depth:  14, queue: pq.size=3, pmode=0, max:score=30/72, rid=11, fid=411
depth:  15, queue: pq.size=3, pmode=0, max:score=31/72, rid=71, fid=1215
depth:  16, queue: pq.size=3, pmode=0, max:score=33/72, rid=4, fid=23
depth:  17, queue: pq.size=3, pmode=0, max:score=34/72, rid=123, fid=18815
depth:  18, queue: pq.size=3, pmode=1, max:score=34/72, rid=448, fid=7636
depth:  19, queue: pq.size=3, pmode=1, max:score=36/72, rid=144, fid=62
depth:  20, queue: pq.size=3, pmode=1, max:score=37/72, rid=374, fid=178955
depth:  21, queue: pq.size=3, pmode=1, max:score=38/72, rid=499, fid=231288
depth:  22, queue: pq.size=3, pmode=1, max:score=40/72, rid=472, fid=57025
depth:  23, queue: pq.size=3, pmode=1, max:score=42/72, rid=472, fid=7562
depth:  24, queue: pq.size=3, pmode=1, max:score=44/72, rid=472, fid=4689
depth:  25, queue: pq.size=3, pmode=1, max:score=45/72, rid=472, fid=42752
depth:  26, queue: pq.size=3, pmode=1, max:score=46/72, rid=278, fid=371
depth:  27, queue: pq.size=3, pmode=1, max:score=47/72, rid=255, fid=367
depth:  28, queue: pq.size=3, pmode=1, max:score=48/72, rid=70, fid=424
depth:  29, queue: pq.size=3, pmode=1, max:score=49/72, rid=481, fid=61729
depth:  30, queue: pq.size=3, pmode=1, max:score=50/72, rid=457, fid=215633
depth:  31, queue: pq.size=3, pmode=1, max:score=50/72, rid=223, fid=13
depth:  32, queue: pq.size=3, pmode=1, max:score=51/72, rid=134, fid=5343
depth:  33, queue: pq.size=3, pmode=1, max:score=52/72, rid=1, fid=163
depth:  34, queue: pq.size=3, pmode=1, max:score=53/72, rid=420, fid=438
depth:  35, queue: pq.size=3, pmode=1, max:score=54/72, rid=46, fid=75
depth:  36, queue: pq.size=3, pmode=1, max:score=55/72, rid=413, fid=14990
depth:  37, queue: pq.size=3, pmode=1, max:score=56/72, rid=268, fid=4224
depth:  38, queue: pq.size=3, pmode=1, max:score=56/72, rid=39, fid=34
depth:  39, queue: pq.size=3, pmode=1, max:score=57/72, rid=304, fid=1530
depth:  40, queue: pq.size=3, pmode=1, max:score=58/72, rid=222, fid=279
depth:  41, queue: pq.size=3, pmode=1, max:score=58/72, rid=222, fid=29027
depth:  42, queue: pq.size=3, pmode=1, max:score=59/72, rid=223, fid=14298
depth:  43, queue: pq.size=3, pmode=1, max:score=59/72, rid=26, fid=124
depth:  44, queue: pq.size=3, pmode=1, max:score=60/72, rid=264, fid=7269
depth:  45, queue: pq.size=3, pmode=1, max:score=60/72, rid=230, fid=15687
depth:  46, queue: pq.size=3, pmode=1, max:score=61/72, rid=157, fid=1047
depth:  47, queue: pq.size=3, pmode=1, max:score=61/72, rid=491, fid=54
depth:  48, queue: pq.size=3, pmode=1, max:score=62/72, rid=91, fid=5806
depth:  49, queue: pq.size=3, pmode=1, max:score=63/72, rid=447, fid=79
depth:  50, queue: pq.size=3, pmode=1, max:score=63/72, rid=288, fid=3405
depth:  51, queue: pq.size=3, pmode=1, max:score=64/72, rid=288, fid=1097
